Titulo;Distribuidor;Fecha Estreno EEUU;Presupuesto M;Fin de Semana Estreno NA;Norteamerica;Otro Territorios;Mundial
Howard the Duck;Universal Pictures;August 1 1986;37.00;5070136.00;16295774.00;21667000.00;37962774.00
Blade;New Line Cinema;August 21 1998;45.00;17073856.00;70087718.00;61095812.00;131183530.00
X-Men;20th Century Fox;July 14 2000;75.00;54471475.00;157299717.00;139039810.00;296339527.00
Blade II;New Line Cinema;March 22 2002;54.00;32528016.00;82348319.00;72661713.00;155010032.00
Spider-Man;Sony Pictures;May 3 2002;139.00;114844116.00;403706375.00;418002176.00;821708551.00
Daredevil;20th Century Fox;February 14 2003;78.00;40310419.00;102543518.00;76636200.00;179179718.00
X2;20th Century Fox;May 2 2003;110.00;85558731.00;214949694.00;192761855.00;407711549.00
Hulk;Universal Pictures;June 20 2003;137.00;62128420.00;132177234.00;113183246.00;245360480.00
The Punisher;Lionsgate Films;April 16 2004;33.00;13834527.00;33810189.00;20889916.00;54700105.00
Spider-Man 2;Sony Pictures;June 30 2004;200.00;88156227.00;373585825.00;415390628.00;788976453.00
Blade: Trinity;New Line Cinema;December 8 2004;65.00;16061271.00;52411906.00;76493460.00;128905366.00
Elektra;20th Century Fox;January 14 2005;43.00;12804793.00;24409722.00;32271844.00;56681566.00
Fantastic Four;20th Century Fox;July 8 2005;100.00;56061504.00;154696080.00;175883639.00;330579719.00
X-Men: The Last Stand;20th Century Fox;May 26 2006;210.00;102750665.00;234362462.00;224997093.00;459359555.00
Ghost Rider;Sony Pictures;February 16 2007;110.00;45388836.00;115802596.00;112935797.00;228738393.00
Spider-Man 3;Sony Pictures;May 4 2007;258.00;151116516.00;336530303.00;554341323.00;890871626.00
Fantastic Four: Rise of the Silver Surfer;20th Century Fox;June 15 2007;130.00;58051684.00;131921738.00;169991393.00;301913131.00
Iron Man;Paramount Pictures;May 2 2008;140.00;98618668.00;318412101.00;266762121.00;585174222.00
The Incredible Hulk;Universal Pictures;June 13 2008;150.00;55414050.00;134806913.00;128620638.00;263427551.00
Punisher: War Zone;Lionsgate Films;December 5 2008;35.00;4271451.00;8050977.00;2049059.00;10100036.00
X-Men Origins: Wolverine;20th Century Fox;May 1 2009;150.00;85058003.00;179883157.00;193179707.00;373062864.00
Iron Man 2;Paramount Pictures;May 7 2010;200.00;128122480.00;312433331.00;311500000.00;623933331.00
Thor;Paramount Pictures;May 6 2011;150.00;65723338.00;181030624.00;268295994.00;449326618.00
X-Men: First Class;20th Century Fox;June 3 2011;160.00;55101604.00;146408305.00;207215819.00;353624124.00
Captain America: The First Avenger;Paramount Pictures;July 22 2011;140.00;65058524.00;176654505.00;193915269.00;370569774.00
Ghost Rider: Spirit of Vengeance;Sony Pictures;February 17 2012;57.00;22115334.00;51774002.00;80789928.00;132563930.00
The Avengers;Walt Disney Studios Motion Pictures;May 4 2012;220.00;207438708.00;623357910.00;895455078.00;1518812988.00
The Amazing Spider-Man;Sony Pictures;July 3 2012;230.00;62004688.00;262030663.00;495900000.00;757930663.00
Iron Man 3;Walt Disney Studios Motion Pictures;May 3 2013;200.00;174144585.00;409013994.00;805797258.00;1214811252.00
The Wolverine;20th Century Fox;July 26 2013;120.00;53113752.00;132550960.00;282271394.00;414828246.00
Thor: The Dark World;Walt Disney Studios Motion Pictures;November 8 2013;170.00;85737841.00;206362140.00;438209262.00;644571402.00
Captain America: The Winter Soldier;Walt Disney Studios Motion Pictures;April 4 2014;170.00;95023721.00;259766572.00;454497695.00;714264267.00
The Amazing Spider-Man 2;Sony Pictures;May 2 2014;255.00;91608337.00;202853933.00;506128390.00;708982323.00
X-Men: Days of Future Past;20th Century Fox;May 23 2014;200.00;90823660.00;233921534.00;513941241.00;747862775.00
Guardians of the Galaxy;Walt Disney Studios Motion Pictures;August 1 2014;170.00;94320883.00;333176600.00;440152029.00;773328629.00
